,Adultsmoking,Adult obesity Value,Physical inactivity Value,Excessivedrinking,Alcohol-impaired driving deaths Value,Drug poisoning deaths Value,Mental,Poor physical health days Value,target,target2,badval,FN,FP
332,0.161,0.29,0.266,0.311,0.214,10.84,2.2,1.9,1,Above Median Income,0,0,0
870,0.219,0.279,0.248,0.158,0.581,15.06,2.6,4.1,0,Below Median Income,1,0,1
222,0.171,0.25,0.24,0.166,0.33,19.66,3.8,3.9,1,Above Median Income,0,0,0
1091,0.216,0.323,0.315,0.149,0.364,12.81,3.7,4.7,0,Below Median Income,0,0,0
450,0.105,0.311,0.242,0.253,0.471,8.62,2.2,2.4,1,Above Median Income,0,0,0
757,0.143,0.296,0.215,0.164,0.316,9.88,3.5,2.7,1,Above Median Income,0,0,0
1221,0.229,0.34,0.287,0.084,0.333,12.05,2.9,3.4,1,Above Median Income,0,0,0
155,0.152,0.201,0.18,0.165,0.286,10.62,2.9,2.4,1,Above Median Income,0,0,0
265,0.239,0.321,0.304,0.125,0.289,9.83,5,4.1,0,Below Median Income,0,0,0
1212,0.217,0.33,0.236,0.146,0.27,8.91,3.8,4.5,1,Above Median Income,1,1,0
1601,0.207,0.312,0.235,0.213,0.399,19.39,3.6,3.9,0,Below Median Income,1,0,1
455,0.15,0.287,0.266,0.076,0.05,8.29,2.2,3.4,1,Above Median Income,0,0,0
1280,0.171,0.278,0.264,0.181,0.38,17.51,3.7,3.8,1,Above Median Income,0,0,0
945,0.227,0.302,0.232,0.126,0.421,16.44,3.6,4,0,Below Median Income,0,0,0
103,0.139,0.285,0.183,0.175,0.3,10.48,3.7,4.2,0,Below Median Income,1,0,1
787,0.246,0.298,0.346,0.104,0.135,9.85,4.9,3.9,0,Below Median Income,0,0,0
306,0.152,0.244,0.154,0.16,0.244,11.58,3.2,3.2,1,Above Median Income,0,0,0
219,0.197,0.259,0.242,0.173,0.229,15.23,4.4,3.7,1,Above Median Income,0,0,0
635,0.084,0.233,0.181,0.154,0.376,7.04,2.5,2.4,1,Above Median Income,0,0,0
929,0.211,0.259,0.221,0.165,0.16,23.95,4.1,4.4,0,Below Median Income,0,0,0
675,0.212,0.341,0.254,0.157,0.317,9.79,3.7,3,1,Above Median Income,0,0,0
793,0.203,0.324,0.276,0.128,0.223,14.98,3.5,3.2,1,Above Median Income,0,0,0
21,0.212,0.329,0.277,0.145,0.163,11.56,3.9,3.7,1,Above Median Income,1,1,0
1110,0.207,0.326,0.234,0.133,0.606,12.3,3.2,3.1,1,Above Median Income,0,0,0
1492,0.242,0.351,0.313,0.108,0.143,9.84,2.3,3.4,0,Below Median Income,1,0,1
397,0.241,0.307,0.23,0.189,0.175,13.38,3.2,3.5,1,Above Median Income,0,0,0
837,0.267,0.315,0.279,0.143,0.283,19.22,3.9,4.6,0,Below Median Income,0,0,0
454,0.161,0.279,0.226,0.194,0.328,8.72,3,2.8,1,Above Median Income,0,0,0
618,0.164,0.256,0.195,0.18,0.458,7.23,3.7,3.4,1,Above Median Income,0,0,0
619,0.256,0.339,0.273,0.166,0.413,9.58,4.4,4.6,0,Below Median Income,0,0,0
498,0.226,0.349,0.266,0.121,0.25,15.06,3.7,3.1,0,Below Median Income,1,0,1
502,0.178,0.302,0.232,0.176,0.286,20.78,3.3,3.1,1,Above Median Income,0,0,0
1119,0.259,0.342,0.338,0.191,0.326,15.05,4.9,4.3,0,Below Median Income,0,0,0
416,0.244,0.306,0.287,0.104,0.24,7.9,2.8,2.8,1,Above Median Income,0,0,0
1016,0.242,0.31,0.292,0.075,0.302,24.75,4.8,4.9,0,Below Median Income,0,0,0
863,0.23,0.267,0.232,0.189,0.5,15.97,4,4,0,Below Median Income,1,0,1
323,0.255,0.301,0.26,0.207,0.462,16.67,3.5,5.1,0,Below Median Income,0,0,0
1045,0.161,0.353,0.341,0.081,0.368,9.88,4.7,4.1,0,Below Median Income,0,0,0
746,0.066,0.284,0.175,0.156,0.3,6.17,1.9,2.4,1,Above Median Income,0,0,0
598,0.221,0.387,0.329,0.14,0.169,13.96,3.5,4.8,0,Below Median Income,0,0,0
1038,0.261,0.239,0.235,0.132,0.143,18.01,4.8,4.7,0,Below Median Income,0,0,0
599,0.204,0.288,0.239,0.201,0.299,22.59,3.6,3.4,1,Above Median Income,0,0,0
691,0.214,0.329,0.252,0.158,0.244,14.22,3.6,3.8,1,Above Median Income,0,0,0
654,0.114,0.231,0.208,0.181,0.22,10.44,2.7,2.7,1,Above Median Income,0,0,0
1475,0.197,0.296,0.248,0.12,0.042,13.07,5.7,6.6,0,Below Median Income,0,0,0
1255,0.229,0.321,0.26,0.132,0.34,17.11,3,3.6,0,Below Median Income,1,0,1
456,0.183,0.3,0.229,0.105,0.267,6.85,2,2.9,1,Above Median Income,0,0,0
130,0.103,0.204,0.155,0.149,0.282,7.17,2.7,2.9,1,Above Median Income,0,0,0
1390,0.215,0.35,0.287,0.124,0.329,15.25,3.4,4.3,0,Below Median Income,0,0,0
643,0.206,0.326,0.267,0.153,0.427,13.9,3.7,3.5,1,Above Median Income,0,0,0
1321,0.19,0.43,0.319,0.103,0.236,5.36,3.9,3.9,0,Below Median Income,0,0,0
1466,0.133,0.299,0.26,0.144,0.462,6.54,3.1,3.2,1,Above Median Income,0,0,0
1611,0.233,0.336,0.215,0.259,0.354,14.37,3.5,3.7,1,Above Median Income,0,0,0
420,0.208,0.286,0.248,0.191,0.368,10.4,3.4,3.5,0,Below Median Income,1,0,1
1494,0.246,0.29,0.235,0.171,0.381,5.17,2.8,3.9,0,Below Median Income,1,0,1
1179,0.336,0.33,0.361,0.104,0.31,17.77,5,4.7,0,Below Median Income,0,0,0
422,0.2,0.303,0.281,0.197,0.107,7.5,3.2,3.4,1,Above Median Income,0,0,0
30,0.181,0.401,0.317,0.075,0.36,9.39,3.3,5.2,0,Below Median Income,0,0,0
154,0.095,0.12,0.094,0.232,0.208,7.55,2.1,2.5,1,Above Median Income,0,0,0
1414,0.11,0.278,0.183,0.171,0.356,7.5,2.1,2.8,1,Above Median Income,0,0,0
444,0.275,0.302,0.271,0.235,0.226,6.97,2.7,3.9,1,Above Median Income,0,0,0
949,0.169,0.268,0.209,0.132,0.175,22.34,3.8,4.2,0,Below Median Income,0,0,0
173,0.197,0.235,0.202,0.086,0.077,20.36,4.8,4.4,0,Below Median Income,0,0,0
1140,0.141,0.263,0.204,0.188,0.321,13.74,3.4,2.8,1,Above Median Income,0,0,0
452,0.135,0.235,0.169,0.224,0.259,6.42,2.3,2.3,1,Above Median Income,0,0,0
