title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Lady Chatterley', 23 theaters, 168 days / 24 weeks,"b'$865,300'",Kino,"June 22, 2007",b'Foreign',b'2 hrs. 48 min.',b'R',b'N/A',"b'$3,200,383'"
b'Lady Vengeance', 15 theaters, 161 days / 23 weeks,"b'$279,900'",Tartan,"April 28, 2006",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',"b'$23,809,504'"
b'Lagaan', 34 theaters, 28 days / 4 weeks,"b'$1,278,800'",Set Pictures,"June 15, 2001",b'Foreign',b'3 hrs. 40 min.',b'PG',b'N/A',"b'$909,043'"
b'Lagaan (re-issue)', 5 theaters, 44 days / 6.3 weeks,"b'$109,200'",Sony Classics,"May 8, 2002",b'Foreign',b'3 hrs. 44 min.',b'PG',b'N/A',N/A
b'Lage Raho Munna Bhai', 72 theaters, 42 days / 6 weeks,"b'$2,931,900'",Eros,"September 1, 2006",b'Foreign',b'2 hrs. 24 min.',b'PG-13',b'N/A',"b'$17,897,527'"
"b""Laila's Birthday""", 3 theaters, 154 days / 22 weeks,"b'$16,500'",Kino,"May 29, 2009",b'Foreign',b'1 hrs. 11 min.',b'Unrated',b'N/A',"b'$20,541'"
b'Lakshya', 59 theaters, 42 days / 6 weeks,"b'$1,050,900'",UTV Communications,"June 18, 2004",b'Foreign',b'3 hrs. 6 min.',b'Unrated',b'N/A',"b'$5,859,242'"
b'Las Acacias', 1 theaters,N/A,"b'$6,700'",Outsider Films,"September 7, 2012",b'Foreign',b'1 hrs. 22 min.',b'Unrated',b'N/A',N/A
b'The Last Circus', 6 theaters, 84 days / 12 weeks,"b'$44,200'",Magnolia,"August 19, 2011",b'Foreign',b'1 hrs. 41 min.',b'R',b'N/A',"b'$3,218,666'"
b'The Last Kiss', 31 theaters, 119 days / 17 weeks,"b'$1,563,500'",ThinkFilm,"August 16, 2002",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',"b'$17,720,347'"
b'Last Life in the Universe', 4 theaters, 28 days / 4 weeks,"b'$44,600'",Palm,"August 6, 2004",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',"b'$32,014'"
b'The Last Metro',N/A,N/A,"b'$9,368,500'",MGM,"February 13, 1981",b'Foreign',b'2 hrs. 11 min.',b'PG',b'N/A',N/A
b'The Last Mistress', 29 theaters, 105 days / 15 weeks,"b'$947,600'",IFC,"June 27, 2008",b'Foreign',b'1 hrs. 49 min.',b'Unrated',b'$6 million',"b'$1,831,577'"
b'The Last Sentence', 6 theaters, 77 days / 11 weeks,"b'$66,500'",Music Box Films,"June 20, 2014",b'Foreign',b'2 hrs. 6 min.',b'Unrated',b'N/A',"b'$327,506'"
b'The Last Time I Saw Macao', 1 theaters, 49 days / 7 weeks,"b'$6,700'",Cinema Guild,"September 13, 2013",b'Foreign',b'1 hrs. 25 min.',b'Unrated',b'N/A',N/A
b'Last Year at Marienbad (re-issue)', 2 theaters, 217 days / 31 weeks,"b'$174,300'",Rialto,"January 18, 2008",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'Late Marriage', 38 theaters,N/A,"b'$2,469,000'",Magnolia,"May 17, 2002",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',"b'$2,187,081'"
b'Laura Cadieux... La Suite', 59 theaters, 38 days / 5.4 weeks,"b'$1,283,100'",Alliance,"December 3, 1999",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'The Law in These Parts', 1 theaters, 98 days / 14 weeks,"b'$14,700'",Cinema Guild,"November 16, 2012",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'Le Chef', 19 theaters, 59 days / 8.4 weeks,"b'$356,200'",Cohen Media Group,"June 20, 2014",b'Foreign',b'1 hrs. 24 min.',b'PG-13',b'N/A',"b'$6,255,637'"
"b""Le combat dans l'\xc3\xaele (1962)""", 1 theaters, 441 days / 63 weeks,"b'$57,000'",The Film Desk,"June 12, 2009",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',N/A
b'Le Dernier Tunnel', 64 theaters,N/A,"b'$1,886,100'",Christal Films,"March 12, 2004",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Le Doulos (re-issue)', 2 theaters, 140 days / 20 weeks,"b'$104,100'",Rialto,"June 29, 2007",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',N/A
b'Le Grand Role', 2 theaters, 98 days / 14 weeks,"b'$15,400'",First Run,"May 6, 2005",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',"b'$231,162'"
b'Le Havre', 25 theaters, 178 days / 25.4 weeks,"b'$668,700'",Janus Films,"October 21, 2011",b'Foreign',b'1 hrs. 43 min.',b'Unrated',b'N/A',"b'$10,498,657'"
b'Le Jour Se Leve (2014 re-release)', 3 theaters, 63 days / 9 weeks,"b'$36,900'",Rialto,"November 14, 2014",b'Foreign',b'1 hrs. 27 min.',b'Unrated',b'N/A',N/A
b'Le Petit Lieutenant', 3 theaters, 217 days / 31 weeks,"b'$280,700'",Cinema Guild,"September 8, 2006",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',"b'$3,984,265'"
b'Le Petit Soldat (2013 re-release)', 1 theaters, 136 days / 19.4 weeks,"b'$26,300'",Rialto,"March 8, 2013",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',N/A
