title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Indochine',N/A,N/A,"b'$11,692,400'",Sony Classics,"December 23, 1992",b'Foreign',b'2 hrs. 32 min.',b'PG-13',b'N/A',N/A
b'Infernal Affairs', 5 theaters,N/A,"b'$236,600'",Miramax,"September 24, 2004",b'Foreign',b'1 hrs. 37 min.',b'R',b'N/A',"b'$8,708,932'"
b'The Inheritance', 2 theaters, 182 days / 26 weeks,"b'$94,600'",Cinema Guild,"July 9, 2004",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$68,215'"
b'Innocent Voices', 75 theaters, 35 days / 5 weeks,"b'$1,132,000'",Slowhand Cinema,"October 14, 2005",b'Foreign',b'1 hrs. 50 min.',b'R',b'N/A',"b'$7,015,131'"
b'Insomnia (1998)', 3 theaters,N/A,"b'$420,200'",First Run,"May 29, 1998",b'Foreign',b'1 hrs. 37 min.',b'Unrated',b'N/A',N/A
b'Inspecteur Lavardin',N/A,N/A,"b'$5,500'",MK2 USA,"December 26, 1991",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'Inspector Bellamy', 4 theaters, 56 days / 8 weeks,"b'$116,300'",IFC,"October 29, 2010",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',"b'$3,681,654'"
b'Instructions Not Included', 978 theaters, 105 days / 15 weeks,"b'$48,492,100'",Lionsgate,"August 30, 2013",b'Foreign',b'1 hrs. 55 min.',b'PG-13',b'N/A',"b'$99,067,206'"
b'Intervista',N/A,N/A,"b'$289,200'",Castle Hill,"November 20, 1992",b'Foreign',b'1 hrs. 56 min.',b'Unrated',b'N/A',N/A
b'Intimate Stories', 3 theaters, 203 days / 29 weeks,"b'$139,000'",New Yorker,"March 4, 2005",b'Foreign',b'1 hrs. 32 min.',b'Unrated',b'N/A',"b'$191,146'"
b'Intimate Strangers', 94 theaters, 140 days / 20 weeks,"b'$2,943,300'",Paramount Classics,"July 30, 2004",b'Foreign',b'1 hrs. 44 min.',b'R',b'N/A',"b'$7,120,939'"
b'The Intouchables (U.S.-only)', 194 theaters, 238 days / 34 weeks,"b'$11,216,200'",Weinstein Company,"May 25, 2012",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',"b'$426,588,510'"
b'The Intruder (2005)', 2 theaters, 126 days / 18 weeks,"b'$54,200'",Wellspring,"December 23, 2005",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',N/A
b'Invisible Waves',N/A,N/A,N/A,Palm,Fall 2007,b'Foreign',b'1 hrs. 55 min.',b'Not Yet Rated',b'N/A',"b'$19,293'"
b'Ip Man 2:<br/>Legend of the Grandmaster', 21 theaters, 119 days / 17 weeks,"b'$226,600'",Variance Films,"January 28, 2011",b'Foreign / Action',b'1 hrs. 47 min.',b'R',b'N/A',"b'$15,061,802'"
b'Ip Man:<br/>The Final Fight', 14 theaters, 31 days / 4.4 weeks,"b'$40,800'",Well Go USA,"September 20, 2013",b'Foreign / Action',b'1 hrs. 42 min.',b'PG-13',b'N/A',"b'$37,884'"
b'Irma Vep', 6 theaters,N/A,"b'$532,600'",Zeitgeist,"April 30, 1997",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$282,310'"
b'Iron Island', 4 theaters, 154 days / 22 weeks,"b'$36,000'",Kino,"March 31, 2006",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',N/A
b'Irreversible', 35 theaters, 73 days / 10.4 weeks,"b'$1,137,700'",Lions Gate,"March 7, 2003",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',"b'$792,200'"
"b""It's a Wonderful Afterlife""",N/A,N/A,N/A,UTV Communications,"October 8, 2010",b'Foreign',b'1 hrs. 40 min.',b'PG-13',b'N/A',"b'$1,321,438'"
"b""It's All So Quiet (Boven is het stil)""", 1 theaters, 7 days / 1 weeks,b'$800',Big World Pictures,"January 9, 2015",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',b'$724'
"b""It's Easier for a Camel""", 1 theaters, 42 days / 6 weeks,"b'$22,500'",New Yorker,"August 20, 2004",b'Foreign',b'1 hrs. 56 min.',b'Unrated',b'N/A',"b'$16,150'"
b'The Italian', 25 theaters, 161 days / 23 weeks,"b'$699,100'",Sony Classics,"January 19, 2007",b'Foreign',b'1 hrs. 39 min.',b'PG-13',b'N/A',"b'$1,983,666'"
b'Italian for Beginners', 99 theaters,N/A,"b'$6,774,100'",Miramax,"January 18, 2002",b'Foreign',b'1 hrs. 52 min.',b'R',"b'$1,000,000'","b'$16,349,568'"
"b""J'entends plus la guitare""", 1 theaters, 200 days / 28.6 weeks,"b'$15,500'",The Film Desk,"February 25, 2008",b'Foreign',b'1 hrs. 38 min.',b'Unrated',b'N/A',N/A
b'Jaan-E-Mann', 73 theaters, 21 days / 3 weeks,"b'$859,400'",AdLabs,"October 20, 2006",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$1,656,433'"
b'Jaane Tu Ya Jaane Na', 40 theaters, 35 days / 5 weeks,"b'$728,500'",UTV Communications,"July 4, 2008",b'Foreign',b'2 hrs. 25 min.',b'Unrated',b'N/A',"b'$19,852,786'"
