title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'A Very Long Engagement', 219 theaters, 112 days / 16 weeks,"b'$8,899,900'",Warner Independent,"November 26, 2004",b'Foreign',b'2 hrs. 14 min.',b'R',b'$56.6 million',"b'$70,115,868'"
b'Vettai', 34 theaters, 42 days / 6 weeks,"b'$226,000'",UTV Communications,"January 13, 2012",b'Foreign / Action',b'2 hrs. 30 min.',b'Unrated',b'N/A',N/A
b'Vicky Donor', 50 theaters, 28 days / 4 weeks,"b'$585,500'",Eros,"April 20, 2012",b'Foreign',b'2 hrs. 22 min.',b'Unrated',b'N/A',"b'$549,001'"
b'Violeta Went to Heaven', 3 theaters, 42 days / 6 weeks,"b'$22,200'",Kino Lorber,"March 29, 2013",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$1,211,573'"
b'The Violin', 3 theaters, 163 days / 23.3 weeks,"b'$79,300'",Film Movement,"December 5, 2007",b'Foreign',b'1 hrs. 38 min.',b'Unrated',b'N/A',"b'$1,186,247'"
b'The Viral Factor', 22 theaters, 70 days / 10 weeks,"b'$243,900'",China Lion,"January 20, 2012",b'Foreign',b'2 hrs. 2 min.',b'Unrated',b'N/A',"b'$220,496'"
b'Viruddh', 37 theaters, 28 days / 4 weeks,"b'$442,600'",UTV Communications,"July 22, 2005",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$2,048,588'"
b'Vision', 17 theaters, 163 days / 23.3 weeks,"b'$473,100'",Zeitgeist,"October 13, 2010",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',"b'$5,043,878'"
b'Vitus', 16 theaters, 119 days / 17 weeks,"b'$236,000'",Sony Classics,"June 29, 2007",b'Foreign',b'2 hrs. 3 min.',b'PG',b'$2.5 million',"b'$6,079,556'"
b'Viva La Liberta', 10 theaters, 70 days / 10 weeks,"b'$51,000'",Distrib Films,"November 7, 2014",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',N/A
b'Viva Pedro! (Almodovar festival)', 24 theaters, 98 days / 14 weeks,"b'$766,200'",Sony Classics,"August 11, 2006",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Viva Riva!', 5 theaters, 94 days / 13.4 weeks,"b'$66,800'",Music Box Films,"June 10, 2011",b'Foreign',b'1 hrs. 36 min.',b'R',b'N/A',"b'$61,759'"
b'Vivere', 2 theaters, 35 days / 5 weeks,"b'$4,400'",Regent Releasing,"February 29, 2008",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',"b'$61,658'"
b'Vodka Lemon', 3 theaters, 224 days / 32 weeks,"b'$91,100'",New Yorker,"October 8, 2004",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',N/A
