title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
"b'Remember Me, My Love'", 7 theaters, 105 days / 15 weeks,"b'$317,900'",IDP,"September 3, 2004",b'Foreign',b'2 hrs. 5 min.',b'R',b'N/A',"b'$12,671,306'"
b'Rendezvous in Paris',N/A,N/A,"b'$1,683,100'",Artificial Eye,"June 28, 1996",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'Renoir', 86 theaters, 161 days / 23 weeks,"b'$2,382,300'",Samuel Goldwyn,"March 29, 2013",b'Foreign',b'1 hrs. 51 min.',b'R',b'N/A',"b'$2,293,798'"
b'Reprise', 15 theaters, 70 days / 10 weeks,"b'$669,200'",Miramax,"May 16, 2008",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',"b'$1,297,260'"
b'Requiem', 2 theaters, 44 days / 6.3 weeks,"b'$12,700'",IFC,"October 18, 2006",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',"b'$262,460'"
b'Respiro', 32 theaters, 182 days / 26 weeks,"b'$1,540,800'",Sony Classics,"May 23, 2003",b'Foreign',b'1 hrs. 35 min.',b'PG-13',b'N/A',"b'$7,309,845'"
b'The Return of Martin Guerre',N/A,N/A,"b'$10,184,200'",European Int\'l,"June 3, 1983",b'Foreign',b'2 hrs. 3 min.',b'Unrated',b'N/A',N/A
b'Returner', 13 theaters, 21 days / 3 weeks,"b'$104,900'",IDP,"October 17, 2003",b'Foreign / Action',b'1 hrs. 56 min.',b'R',b'N/A',"b'$9,978,256'"
b'Revanche', 10 theaters,N/A,"b'$223,400'",Janus Films,"May 1, 2009",b'Foreign',b'2 hrs. 1 min.',b'Unrated',b'N/A',"b'$192,451'"
b'Rhapsody in August', 12 theaters,N/A,"b'$1,075,800'",Orion Classics,"December 19, 1991",b'Foreign',b'1 hrs. 38 min.',b'PG',b'N/A',N/A
b'The Rider Named Death', 1 theaters, 7 days / 1 weeks,"b'$4,600'",Kino,"March 18, 2005",b'Foreign',b'1 hrs. 46 min.',b'Unrated',b'N/A',N/A
b'Ridicule',N/A,N/A,"b'$3,878,900'",Miramax,"November 22, 1996",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',N/A
b'Riding Alone for Thousands of Miles', 13 theaters, 140 days / 20 weeks,"b'$333,200'",Sony Classics,"September 1, 2006",b'Foreign',b'1 hrs. 47 min.',b'PG',b'N/A',"b'$3,752,325'"
b'Rififi (re-issue)', 3 theaters,N/A,"b'$739,400'",Rialto,"July 21, 2000",b'Foreign',b'1 hrs. 58 min.',b'Unrated',b'N/A',"b'$460,226'"
b'Rigor Mortis', 10 theaters, 3 days / 0.4 weeks,"b'$8,200'",Well Go USA,"June 6, 2014",b'Foreign / Horror',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$7,865'"
b'The Road (2012)', 50 theaters, 14 days / 2 weeks,"b'$101,100'",Freestyle Releasing,"May 11, 2012",b'Foreign / Horror',b'1 hrs. 50 min.',b'R',b'N/A',N/A
b'The Road Home', 37 theaters,N/A,"b'$1,959,200'",Sony Classics,"May 25, 2001",b'Foreign',b'1 hrs. 29 min.',b'G',b'N/A',"b'$6,780,490'"
b'The Road to Love', 1 theaters, 9 days / 1.3 weeks,"b'$2,400'",Arab Film Dist.,"June 30, 2004",b'Foreign',b'1 hrs. 10 min.',b'Unrated',b'N/A',N/A
b'Roadside Romeo', 29 theaters, 14 days / 2 weeks,"b'$66,600'",Yash Raj,"October 24, 2008",b'Foreign',b'1 hrs. 33 min.',b'PG',b'N/A',"b'$1,978,021'"
b'The Robber', 6 theaters, 246 days / 35.1 weeks,"b'$90,000'",Kino,"February 3, 2011",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',"b'$208,475'"
b'The Rocket (2014)', 7 theaters, 133 days / 19 weeks,"b'$61,500'",Kino Lorber,"January 10, 2014",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$56,823'"
b'Rockstar (2011)', 112 theaters, 28 days / 4 weeks,"b'$1,091,300'",Eros,"November 11, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$986,697'"
b'Rolling Family', 1 theaters, 63 days / 9 weeks,"b'$12,300'",Palm,"September 8, 2006",b'Foreign',b'1 hrs. 46 min.',b'Unrated',b'N/A',"b'$116,512'"
b'Roman de Gare', 38 theaters, 147 days / 21 weeks,"b'$2,234,600'",Samuel Goldwyn,"April 25, 2008",b'Foreign',b'1 hrs. 43 min.',b'R',b'N/A',"b'$4,841,132'"
b'Romance', 74 theaters,N/A,"b'$2,240,100'",Trimark,"September 17, 1999",b'Foreign',b'1 hrs. 38 min.',b'R',b'N/A',N/A
b'Romeo et Juliette', 73 theaters, 59 days / 8.4 weeks,"b'$1,745,300'",Alliance,"December 15, 2006",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Romeos', 1 theaters, 7 days / 1 weeks,"b'$1,200'",Strand,"September 16, 2011",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',N/A
b'The Rooftop', 17 theaters, 17 days / 2.4 weeks,"b'$94,700'",Well Go USA,"July 19, 2013",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',"b'$85,755'"
b'Rosenstrasse', 24 theaters, 168 days / 24 weeks,"b'$1,020,900'",IDP,"July 30, 2004",b'Foreign',b'2 hrs. 16 min.',b'PG-13',b'N/A',"b'$6,077,816'"
