title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Aaja Nachle', 66 theaters, 21 days / 3 weeks,"b'$609,400'",Yash Raj,"November 30, 2007",b'Foreign',b'2 hrs. 25 min.',b'Unrated',b'N/A',"b'$6,773,493'"
b'Aarakshan (Reservation)', 91 theaters, 42 days / 6 weeks,"b'$710,100'",Reliance Big Pictures,"August 12, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$651,096'"
b'Aashayein (Wishes)',N/A,N/A,N/A,Reliance Big Pictures,"August 27, 2010",b'Foreign',b'2 hrs. 0 min.',b'Not Yet Rated',b'N/A',"b'$3,836'"
b'ABCD (Any Body Can Dance)', 25 theaters, 28 days / 4 weeks,"b'$242,200'",UTV Communications,"February 8, 2013",b'Foreign',b'2 hrs. 25 min.',b'Unrated',b'N/A',"b'$222,098'"
b'Abel',N/A,N/A,N/A,Lionsgate,TBD,b'Foreign',b'1 hrs. 24 min.',b'Not Yet Rated',b'N/A',"b'$2,706,679'"
b'Absurdistan', 3 theaters, 133 days / 19 weeks,"b'$46,100'",First Run,"February 6, 2009",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',"b'$113,269'"
b'Abuse of Weakness', 5 theaters, 77 days / 11 weeks,"b'$33,800'",Strand,"August 15, 2014",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',N/A
b'The Accompanist',N/A,N/A,"b'$1,610,600'",Sony Classics,"December 23, 1993",b'Foreign',b'1 hrs. 50 min.',b'PG',b'N/A',N/A
b'Action Jackson (2014)', 125 theaters, 14 days / 2 weeks,"b'$268,000'",Eros,"December 5, 2014",b'Foreign',b'2 hrs. 24 min.',b'Unrated',b'N/A',"b'$256,872'"
"b""Adam's Apples""", 1 theaters, 7 days / 1 weeks,"b'$1,600'",Outsider Pictures,"March 16, 2007",b'Foreign',b'1 hrs. 34 min.',b'R',b'N/A',"b'$2,421,577'"
b'The Admiral:<br/>Roaring Currents', 45 theaters, 91 days / 13 weeks,"b'$2,774,600'",CJ Entertainment,"August 8, 2014",b'Foreign',b'2 hrs. 7 min.',b'Unrated',b'N/A',"b'$112,156,811'"
b'The Adventures of Felix', 8 theaters,N/A,"b'$556,000'",Wellspring,"June 15, 2001",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',N/A
b'After Life', 11 theaters,N/A,"b'$1,367,200'",Artistic License,"May 14, 1999",b'Foreign',b'1 hrs. 58 min.',b'Unrated',b'N/A',N/A
b'After Midnight', 3 theaters, 119 days / 17 weeks,"b'$69,000'",Avatar,"December 3, 2004",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',"b'$1,576,003'"
b'After the Life:<br/>Trilogy 3', 3 theaters, 133 days / 19 weeks,"b'$38,000'",Magnolia,"February 13, 2004",b'Foreign',b'2 hrs. 4 min.',b'R',b'N/A',N/A
b'After the Wedding', 55 theaters, 105 days / 15 weeks,"b'$1,931,600'",IFC,"March 30, 2007",b'Foreign',b'2 hrs. 0 min.',b'R',b'N/A',"b'$11,632,723'"
b'Aftershock (Tangshan Dadizhen)', 25 theaters, 91 days / 13 weeks,"b'$68,100'",China Lion,"October 29, 2010",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$100,292,829'"
b'Age of Uprising:<br/>The Legend of Michael Kohlhaas (U.S. only)', 4 theaters, 7 days / 1 weeks,"b'$3,400'",Music Box Films,"May 30, 2014",b'Foreign',b'2 hrs. 2 min.',b'Unrated',b'N/A',"b'$800,313'"
